Date,Price,Open,High,Low,Vol.,Change %
2003-06-25,674.03,665.98,674.96,665.88,505.22M,1.51%
2003-06-24,664.01,664.4,665.63,659.77,451.36M,-1.57%
2003-06-23,674.59,685.97,686.6,673.33,471.99M,-1.69%
2003-06-20,686.22,684.04,690.7,683.76,534.52M,-0.62%
2003-06-19,690.49,681.03,690.59,679.06,588.42M,2.18%
2003-06-18,675.75,673.84,681.38,672.52,584.10M,0.16%
2003-06-17,674.66,673.76,677.58,670.33,661.65M,2.56%
2003-06-16,657.82,661.6,664.01,655.86,432.73M,-1.12%
2003-06-13,665.24,663.1,670.2,655.76,503.05M,1.11%
2003-06-12,657.95,658.43,661.89,653.73,611.95M,1.02%
2003-06-11,651.29,651.93,657.92,650.27,497.48M,0.24%
2003-06-10,649.75,645.41,652.9,644.18,361.33M,-0.09%
2003-06-09,650.35,640.58,651.16,638.31,351.40M,1.24%
2003-06-05,642.38,647.72,648.35,641.58,521.56M,0.33%
2003-06-04,640.27,642.35,642.79,632.47,442.21M,0.52%
2003-06-03,636.94,641.74,643.69,633.56,494.56M,-1.81%
2003-06-02,648.71,643.93,649.69,642.61,514.96M,2.41%
2003-05-30,633.42,632.15,635.81,627.02,470.15M,0.16%
2003-05-29,632.43,624.1,636.2,623.01,454.45M,0.65%
2003-05-28,628.36,629.19,630.92,622.53,603.93M,2.29%
2003-05-27,614.3,619.86,620.0,609.05,470.04M,-0.54%
2003-05-26,617.65,611.15,621.65,607.76,483.85M,1.00%
2003-05-23,611.51,602.8,612.07,601.03,441.17M,2.71%
2003-05-22,595.38,599.06,607.98,591.73,449.00M,-0.86%
2003-05-21,600.57,599.55,603.24,596.29,442.31M,-0.25%
2003-05-20,602.08,585.86,602.09,584.62,421.52M,0.96%
2003-05-19,596.36,603.77,603.77,592.84,350.45M,-2.37%
